date,url,actor1,actor2,location,tone,event_type,link_status,headline
2025-01-01 18:15:00.000000 UTC,https://www.dudleynews.co.uk/news/24826587.councillor-slams-keir-starmer-labour-by-election-loss/,PARTY LEADER,,Jordan,0.72202166064982,112,Active,Councillor slams Keir Starmer after Labour by-election loss | Dudley News
2025-01-01 18:30:00.000000 UTC,https://thehill.com/policy/national-security/5062271-fbi-says-it-thwarted-apparent-plot-against-aipac/,ISRAEL,POLICE,Israel,-1.13314447592068,10,HTTP 403,
2025-01-01 18:30:00.000000 UTC,https://navbharattimes.indiatimes.com/world/uae/jaishankar-meets-qatar-prime-minister-mohammed-bin-abdulrahman-bin-jassim-al-thani-in-doha/articleshow/116862190.cms,MINISTRY,QATAR,"Doha, Ad Daw?ah, Qatar",1.16279069767442,84,Active,"Jaishankar In Qatar,कतर के प्रधानमंत्री से मिले पीएम मोदी के 'चाणक्य' एस जयशंकर, जानें क्या हुई बात - jaishankar meets qatar prime minister mohammed bin abdulrahman bin jassim al thani in doha - Uae News - Navbharat Times"
2025-01-01 18:30:00.000000 UTC,https://digitpatrox.com/us-sanctions-russian-group-over-ai-generated-election-disinformation/,THE US,RUSSIA,Iran,-5.10204081632653,112,Active,RAG Explained: Why Retrieval Quality Beats Bigger AI Models
2025-01-01 18:45:00.000000 UTC,https://www.breitbart.com/politics/2025/01/01/inspector-general-3-doj-employees-leaked-info-to-hurt-trump-before-election/,INSPECTOR GENERAL,MEDIA,Egypt,-4.39024390243903,10,Active,Inspector General: 3 DOJ Employees Leaked Info to Hurt Trump Before Election
2025-01-01 19:00:00.000000 UTC,https://www.middleeastmonitor.com/20250101-israeli-government-considers-ordering-army-to-occupy-gaza-city-report/,ECHELON,ISRAELI,"Gaza, Israel (general), Israel",-8.66425992779783,100,Active,Israeli government considers ordering army to occupy Gaza City: Report – Middle East Monitor
2025-01-01 19:45:00.000000 UTC,https://aninews.in/news/world/middle-east/eam-jaishankar-meets-qatar-pm-as-years-first-diplomatic-engagement20250101204309/,,QATAR,"Doha, Ad Daw?ah, Qatar",1.66320166320166,46,Active,EAM Jaishankar meets Qatar PM as year's first diplomatic engagement
2025-01-01 19:45:00.000000 UTC,https://www.algemeiner.com/2025/01/01/anti-zionist-student-government-president-convicted-misconduct-removed-office-u-michigan/,ADMINISTRATION,STUDENT,Israel,-7.05741626794258,71,Active,"Anti-Zionist Student Government President Convicted of Misconduct, Removed from Office at U of Michigan | Algemeiner.com"
2025-01-01 21:45:00.000000 UTC,https://eturbonews.com/british-parliament-authorizes-air-strikes-against-isis-syria/,GOVERNMENT,,Iraq,-3.95136778115502,84,Active,British Parliament authorizes air strikes against ISIS in Syria
2025-01-01 21:45:00.000000 UTC,https://en.apa.az/asia/israels-former-defence-chief-gallant-quits-parliament-457072,GOVERNMENT,PARLIAMENT,Israel,3.70370370370371,831,Active,Israel's former defence chief Gallant quits parliament
