trade_date,name,code,symbol,market,volume,qty,no_of_trades,high,low,open,close_price,best_ask_price,best_ask_qty,best_bid_price,best_bid_qty
2010-01-03,البوتاس العربية,141043,APOT,2,14455.6,400,7,36.21,35.5,36.21,36.21,36.6,300.0,35.54,10.0
2010-01-03,البنك العربي,113023,ARBK,1,228962.85,18555,99,12.55,12.27,12.55,12.31,12.35,150.0,12.31,1845.0
2010-01-03,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,3645.4,2180,5,1.73,1.66,1.73,1.73,1.73,800.0,1.57,1000.0
2010-01-03,الكهرباء الاردنية,131004,JOEP,1,74136.73,17774,50,4.2,4.15,4.2,4.16,4.17,537.0,4.16,665.0
2010-01-03,مناجم الفوسفات الاردنية,141018,JOPH,1,448211.52,24643,75,18.4,18.0,18.0,18.21,18.21,300.0,18.2,2997.0
2010-01-03,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,1040756.07,152017,237,6.96,6.74,6.74,6.75,6.8,500.0,6.75,4270.0
2010-01-03,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,244.02,119,7,2.06,2.0,2.05,2.06,2.06,891.0,2.0,1498.0
2010-01-03,بنك الإتحاد,111007,UBSI,1,47278.24,25297,32,1.89,1.86,1.86,1.89,1.89,500.0,1.87,500.0
2010-01-04,البوتاس العربية,141043,APOT,2,62858.6,1783,17,35.5,35.25,35.5,35.25,36.0,218.0,35.25,117.0
2010-01-04,البنك العربي,113023,ARBK,1,370004.55,30285,156,12.32,12.18,12.32,12.18,12.21,570.0,12.18,8160.0
2010-01-04,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,18.1,10,1,1.81,1.81,1.81,1.81,1.81,4843.0,0.0,0.0
2010-01-04,الكهرباء الاردنية,131004,JOEP,1,29559.67,7113,29,4.19,4.12,4.16,4.16,4.17,500.0,4.16,1808.0
2010-01-04,مناجم الفوسفات الاردنية,141018,JOPH,1,262255.69,14517,65,18.17,18.0,18.16,18.0,18.2,200.0,18.0,780.0
2010-01-04,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,264306.55,39037,128,6.84,6.73,6.74,6.79,6.84,332.0,6.79,9234.0
2010-01-04,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,10247.8,5050,12,2.06,2.0,2.0,2.06,2.06,2142.0,1.98,550.0
2010-01-04,بنك الإتحاد,111007,UBSI,1,42973.06,22038,33,1.98,1.89,1.91,1.98,1.98,6111.0,1.91,500.0
2010-01-05,البوتاس العربية,141043,APOT,2,1151.4,32,2,36.0,35.98,36.0,35.98,35.98,70.0,35.31,10.0
2010-01-05,البنك العربي,113023,ARBK,1,1051561.95,86160,176,12.24,12.12,12.2,12.23,12.23,2145.0,12.2,3000.0
2010-01-05,الكهرباء الاردنية,131004,JOEP,1,36211.64,8683,25,4.2,4.15,4.17,4.15,4.16,500.0,4.15,11643.0
2010-01-05,مناجم الفوسفات الاردنية,141018,JOPH,1,90307.2,5043,35,18.0,17.81,18.0,17.97,17.97,409.0,17.85,50.0
2010-01-05,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,161976.45,23887,61,6.83,6.75,6.8,6.75,6.78,24.0,6.75,558.0
2010-01-05,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,225.5,110,2,2.05,2.05,2.05,2.05,2.05,990.0,2.01,200.0
2010-01-05,بنك الإتحاد,111007,UBSI,1,7101.6,3679,9,2.01,1.9,1.91,1.92,1.98,690.0,1.92,1270.0
2010-01-06,البوتاس العربية,141043,APOT,2,930925.2,26082,173,35.8,35.5,35.5,35.75,35.97,25.0,35.65,500.0
2010-01-06,البنك العربي,113023,ARBK,1,740406.0,60570,146,12.32,12.18,12.3,12.2,12.24,105.0,12.2,3975.0
2010-01-06,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,18.6,10,1,1.86,1.86,1.86,1.86,1.86,190.0,0.0,0.0
2010-01-06,الكهرباء الاردنية,131004,JOEP,1,234140.48,56153,78,4.18,4.15,4.17,4.15,4.17,206.0,4.15,3252.0
2010-01-06,مناجم الفوسفات الاردنية,141018,JOPH,1,169032.74,9439,37,18.0,17.76,17.99,17.76,17.9,200.0,17.76,251.0
2010-01-06,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,133569.08,20161,84,6.7,6.56,6.68,6.62,6.68,50.0,6.62,210.0
2010-01-06,بنك الإتحاد,111007,UBSI,1,584.3,310,3,1.93,1.86,1.86,1.93,1.93,190.0,1.87,100.0
2010-01-07,البوتاس العربية,141043,APOT,2,411107.75,11539,39,36.0,35.0,36.0,35.5,35.8,18.0,35.5,371.0
2010-01-07,البنك العربي,113023,ARBK,1,559462.2,45780,116,12.3,12.12,12.12,12.21,12.26,1005.0,12.21,3465.0
2010-01-07,الكهرباء الاردنية,131004,JOEP,1,66070.21,15924,32,4.18,4.14,4.15,4.14,4.17,200.0,4.14,8521.0
2010-01-07,مناجم الفوسفات الاردنية,141018,JOPH,1,130586.46,7346,35,17.84,17.65,17.8,17.84,17.87,100.0,17.84,70.0
2010-01-07,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,227675.38,34276,101,6.68,6.61,6.61,6.63,6.63,3049.0,6.61,1541.0
2010-01-07,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,104.5,50,1,2.09,2.09,2.09,2.09,2.09,550.0,2.01,100.0
2010-01-07,بنك الإتحاد,111007,UBSI,1,24514.0,12910,15,1.95,1.88,1.9,1.95,1.95,1640.0,1.89,700.0
2010-01-10,البوتاس العربية,141043,APOT,2,38963.3,1112,10,35.75,35.0,35.2,35.75,35.75,248.0,35.01,200.0
2010-01-10,البنك العربي,113023,ARBK,1,476208.45,38715,73,12.34,12.24,12.24,12.3,12.33,90.0,12.28,75.0
2010-01-10,الكهرباء الاردنية,131004,JOEP,1,67442.39,16317,46,4.16,4.12,4.13,4.12,4.12,485.0,4.11,500.0
2010-01-10,مناجم الفوسفات الاردنية,141018,JOPH,1,388413.32,21436,112,18.2,17.9,18.0,18.2,18.23,25.0,18.2,2500.0
2010-01-10,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,326058.05,48122,114,6.8,6.66,6.66,6.79,6.79,2912.0,6.78,274.0
2010-01-10,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,324.1,160,4,2.06,2.0,2.0,2.06,2.06,190.0,2.01,200.0
2010-01-10,بنك الإتحاد,111007,UBSI,1,92468.7,46250,22,2.03,1.95,1.95,2.01,2.01,4700.0,1.95,1000.0
2010-01-11,البوتاس العربية,141043,APOT,2,374841.29,10465,38,36.0,35.65,35.65,35.75,35.75,410.0,35.5,50.0
2010-01-11,البنك العربي,113023,ARBK,1,1237207.65,99780,203,12.53,12.25,12.3,12.5,12.5,2100.0,12.45,15.0
2010-01-11,الكهرباء الاردنية,131004,JOEP,1,84753.37,20560,45,4.14,4.1,4.1,4.13,4.13,1363.0,4.12,277.0
2010-01-11,مناجم الفوسفات الاردنية,141018,JOPH,1,373756.72,20241,88,18.6,18.21,18.21,18.42,18.44,500.0,18.42,100.0
2010-01-11,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,521293.0,76137,102,6.88,6.79,6.79,6.8,6.8,160.0,6.79,40.0
2010-01-11,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,206.0,100,2,2.06,2.06,2.06,2.06,2.06,2142.0,2.0,300.0
2010-01-11,بنك الإتحاد,111007,UBSI,1,1192.08,608,4,2.0,1.96,1.96,2.0,2.0,690.0,1.96,742.0
2010-01-12,البوتاس العربية,141043,APOT,2,917407.5,25652,75,36.0,35.5,36.0,35.5,35.5,100.0,35.26,100.0
2010-01-12,البنك العربي,113023,ARBK,1,863610.3,69000,107,12.61,12.4,12.42,12.4,12.4,150.0,12.35,135.0
2010-01-12,الكهرباء الاردنية,131004,JOEP,1,75295.56,18221,52,4.17,4.1,4.15,4.1,4.15,745.0,4.1,9092.0
2010-01-12,مناجم الفوسفات الاردنية,141018,JOPH,1,865698.69,46168,136,18.94,18.45,18.55,18.5,18.65,500.0,18.5,8653.0
2010-01-12,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,3023039.74,426479,432,7.14,6.87,6.87,7.14,7.38,150.0,7.14,31521.0
2010-01-12,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,3727.94,1861,10,2.06,1.98,1.99,2.04,2.04,589.0,2.0,1050.0
2010-01-12,بنك الإتحاد,111007,UBSI,1,1129.08,565,4,2.0,1.96,2.0,2.0,2.0,48.0,1.97,40.0
2010-01-13,البوتاس العربية,141043,APOT,2,1297025.81,36501,69,35.75,35.49,35.5,35.7,35.7,500.0,35.5,300.0
2010-01-13,البنك العربي,113023,ARBK,1,465813.6,37665,58,12.5,12.3,12.3,12.34,12.37,60.0,12.34,1530.0
2010-01-13,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,3.57,2,2,1.8,1.77,1.8,1.77,1.77,9.0,0.0,0.0
2010-01-13,الكهرباء الاردنية,131004,JOEP,1,40428.72,9793,31,4.15,4.11,4.15,4.11,4.14,1000.0,4.11,782.0
2010-01-13,مناجم الفوسفات الاردنية,141018,JOPH,1,999174.02,53479,154,18.79,18.5,18.5,18.69,18.69,1423.0,18.65,1000.0
2010-01-13,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,1115324.59,156289,266,7.23,7.05,7.14,7.08,7.1,450.0,7.08,2597.0
2010-01-13,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,1188.3,594,2,2.06,2.0,2.0,2.06,2.06,895.0,1.99,100.0
2010-01-14,البوتاس العربية,141043,APOT,2,762165.63,21400,46,35.99,35.3,35.5,35.3,35.65,14.0,35.3,925.0
2010-01-14,البنك العربي,113023,ARBK,1,83811.75,6795,44,12.4,12.26,12.35,12.32,12.36,120.0,12.32,4605.0
2010-01-14,الكهرباء الاردنية,131004,JOEP,1,28313.42,6918,20,4.15,4.08,4.08,4.1,4.13,500.0,4.1,2254.0
2010-01-14,مناجم الفوسفات الاردنية,141018,JOPH,1,1700067.41,90205,268,19.1,18.65,18.7,18.85,18.98,500.0,18.85,970.0
2010-01-14,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,1839174.34,254996,411,7.29,7.01,7.1,7.22,7.24,250.0,7.22,9886.0
2010-01-14,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,51250.0,25000,2,2.05,2.05,2.05,2.05,2.05,1190.0,2.0,155.0
2010-01-14,بنك الإتحاد,111007,UBSI,1,219.4,110,3,2.02,1.98,2.02,1.98,2.0,930.0,1.96,140.0
2010-01-17,البوتاس العربية,141043,APOT,2,70866.0,2020,9,35.7,35.0,35.7,35.0,35.49,50.0,35.0,1099.0
2010-01-17,البنك العربي,113023,ARBK,1,530784.3,43425,131,12.38,12.18,12.35,12.19,12.25,600.0,12.18,915.0
2010-01-17,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,1.73,1,1,1.73,1.73,1.73,1.73,1.73,1179.0,0.0,0.0
2010-01-17,الكهرباء الاردنية,131004,JOEP,1,49246.54,12026,28,4.11,4.08,4.1,4.11,4.14,1750.0,4.11,1093.0
2010-01-17,مناجم الفوسفات الاردنية,141018,JOPH,1,805363.98,42376,116,19.19,18.87,18.87,19.02,19.1,470.0,19.02,6950.0
2010-01-17,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,556322.84,77512,167,7.29,7.01,7.27,7.17,7.17,1765.0,7.08,1906.0
2010-01-17,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,53681.86,26319,19,2.06,1.99,1.99,2.04,2.04,600.0,2.01,96.0
2010-01-17,بنك الإتحاد,111007,UBSI,1,2498.26,1262,6,1.98,1.97,1.97,1.98,1.98,500.0,1.97,30.0
2010-01-18,البوتاس العربية,141043,APOT,2,369818.3,10277,17,36.0,35.3,35.3,35.7,35.95,14.0,35.51,200.0
2010-01-18,البنك العربي,113023,ARBK,1,1115645.25,91545,93,12.22,12.15,12.18,12.17,12.2,2910.0,12.17,735.0
2010-01-18,الكهرباء الاردنية,131004,JOEP,1,53653.56,12953,37,4.17,4.09,4.09,4.14,4.16,3062.0,4.14,1730.0
2010-01-18,مناجم الفوسفات الاردنية,141018,JOPH,1,2432490.29,126668,304,19.51,18.87,19.18,18.92,18.99,1450.0,18.92,5.0
2010-01-18,مصفاة البترول الأردنية /جوبترول,142041,JOPT,1,589798.22,81746,216,7.28,7.11,7.11,7.17,7.18,886.0,7.16,100.0
2010-01-18,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,4174.0,2042,9,2.05,1.99,1.99,2.05,2.05,1246.0,2.01,100.0
2010-01-18,بنك الإتحاد,111007,UBSI,1,9854.0,5000,8,1.98,1.97,1.98,1.97,1.97,750.0,1.96,200.0
2010-01-19,البوتاس العربية,141043,APOT,2,1333.7,37,2,36.1,36.0,36.0,36.1,36.1,656.0,35.25,250.0
