trade_date,name,code,symbol,market,volume,qty,no_of_trades,high,low,open,close_price,best_ask_price,best_ask_qty,best_bid_price,best_bid_qty,return_value,is_closed,vroc_5d,rsi_14,stochastic_k,stochastic_d,macd_line,macd_signal,normalized_spread,bollinger_width
2025-01-01,البوتاس العربية,141043,APOT,1,2859.64,109,5,26.6,26.21,26.21,26.6,26.6,25.0,26.3,100.0,0.0,1,8.773205741626793,15.517241379310365,60.00000000000014,53.898305084745935,-0.1212282292462703,-0.1129881584298254,0.0146616541353383,0.0316686983543728
2025-01-02,البوتاس العربية,141043,APOT,1,14997.25,565,13,26.6,26.4,26.6,26.55,26.58,45.0,26.4,91.0,-0.00188146809970562,0,50.25512645249487,18.749999999999943,55.00000000000007,55.28248587570638,-0.1215774374581073,-0.1147060142354818,0.0075329566854991,0.0291241814806566
2025-01-03,البوتاس العربية,141043,APOT,1,14997.25,565,13,26.6,26.4,26.6,26.55,26.58,45.0,26.4,91.0,0.0,1,-0.3927265261961027,18.749999999999943,55.00000000000007,56.6666666666668,-0.1204655357726984,-0.1158579185429251,0.0075329566854991,0.0253565218836478
2025-01-04,البوتاس العربية,141043,APOT,1,14997.25,565,13,26.6,26.4,26.6,26.55,26.58,45.0,26.4,91.0,0.0,1,45.98386591478697,18.749999999999943,55.00000000000007,55.00000000000007,-0.1182215611100829,-0.1163306470563567,0.0075329566854991,0.0240277097764892
2025-01-05,البوتاس العربية,141043,APOT,1,2821.9,106,7,26.69,26.6,26.6,26.69,26.75,25.0,26.7,99.0,0.005259215728484896,0,-0.013197465415227,56.09756097560984,70.40816326530623,60.136054421768826,-0.10394811587744,-0.1138541408205734,0.0033720494567253,0.0216042233629307
2025-01-06,البوتاس العربية,141043,APOT,1,61281.92,2266,46,27.2,26.72,26.74,26.72,26.72,50.0,26.7,55.0,0.0011233852520121158,0,20.429942230490557,64.99999999999974,59.99999999999994,61.802721088435455,-0.0891874608845952,-0.1089208048333777,0.0179640718562874,0.0186256019603313
2025-01-07,البوتاس العربية,141043,APOT,1,71985.54,2608,60,28.18,27.16,27.2,28.18,28.0,30.0,27.9,25.0,0.05320015780208926,0,3.799915984597176,92.09039548022596,100.0,76.80272108843543,0.039860772638395,-0.0791644893390232,0.0361958836053938,0.0530853303227847
2025-01-08,البوتاس العربية,141043,APOT,1,228466.69,7650,105,30.29,28.25,28.25,30.29,31.5,81.0,30.29,4941.0,0.07220511856861185,0,14.233905549350714,96.39175257731958,100.0,86.66666666666669,0.3088317730038348,-0.0015652368704516,0.0673489600528226,0.1296887271046377
2025-01-09,البوتاس العربية,141043,APOT,1,170592.06,5241,70,32.56,32.3,32.55,32.56,32.95,10.0,32.56,13358.0,0.07226691609519366,0,10.37488939638934,99.17491749174916,100.0,100.0,0.6971272089254299,0.1381732522887246,0.0079852579852581,0.2259893505114613
2025-01-10,البوتاس العربية,141043,APOT,1,170592.06,5241,70,32.56,32.3,32.55,32.56,32.95,10.0,32.56,13358.0,0.0,1,59.45290761543641,99.17491749174916,100.0,100.0,0.9934028101867868,0.3092191638683371,0.0079852579852581,0.2833119191329992
