trade_date,name,code,symbol,market,volume,qty,no_of_trades,high,low,open,close_price,best_ask_price,best_ask_qty,best_bid_price,best_bid_qty,return_value,is_closed,vroc_5d,rsi_14,stochastic_k,stochastic_d,macd_line,macd_signal,normalized_spread,bollinger_width
2025-01-01,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,198766.36,728984,82,0.29,0.27,0.28,0.29,0.29,131595.0,0.28,8000.0,0.0,1,4.01009270996358,50.0,100.0,88.88888888888899,-0.0066488374782983,-0.0094572883271753,0.0689655172413791,0.1264942899410796
2025-01-02,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,186305.79,649823,38,0.3,0.28,0.29,0.3,0.3,156858.0,0.29,100000.0,0.033901551675681416,0,3.696012344860597,60.00000000000002,100.0,100.0,-0.0046369188229576,-0.0084932144263318,0.0666666666666665,0.1404031167415062
2025-01-03,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,186305.79,649823,38,0.3,0.28,0.29,0.3,0.3,156858.0,0.29,100000.0,0.0,1,19.036112276173576,60.00000000000002,100.0,100.0,-0.0030077868984262,-0.0073961289207507,0.0666666666666665,0.1514936290526889
2025-01-04,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,186305.79,649823,38,0.3,0.28,0.29,0.3,0.3,156858.0,0.29,100000.0,0.0,1,8.930832277026962,60.00000000000002,100.0,100.0,-0.0016971247136973,-0.00625632807934,0.0666666666666665,0.1542880443550106
2025-01-05,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,4712.99,15881,8,0.3,0.29,0.3,0.3,0.3,139010.0,0.29,239523.0,0.0,0,-0.9762887945424972,60.00000000000002,100.0,100.0,-0.000650912179067,-0.0051352448992854,0.0333333333333333,0.1609934974410063
2025-01-06,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,18996.42,65498,34,0.3,0.29,0.29,0.29,0.29,19719.0,0.28,5350.0,-0.03390155167568134,0,-0.904428395227442,59.99999999999996,74.99999999999997,91.66666666666671,-0.0006215329889257,-0.0042325025172135,0.0344827586206896,0.1609934974410063
2025-01-07,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,19447.89,69441,22,0.29,0.28,0.28,0.29,0.29,57378.0,0.27,5000.0,0.0,0,-0.8956130670979148,74.99999999999997,74.99999999999997,83.33333333333337,-0.0005914321078871,-0.0035042884353482,0.0344827586206894,0.1609934974410063
2025-01-08,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,6925.24,24733,17,0.28,0.28,0.28,0.28,0.28,12473.0,0.27,6000.0,-0.03509131981126994,0,-0.9628286378002532,60.00000000000002,50.000000000000064,66.66666666666673,-0.0013588296272113,-0.0030751966737208,0.0,0.1611150814037399
2025-01-09,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,10414.02,37776,33,0.29,0.27,0.27,0.29,0.29,57596.0,0.27,3700.0,0.03509131981126998,0,-0.9441025423847536,66.66666666666666,74.99999999999997,66.66666666666673,-0.0011468609642636,-0.0026895295318294,0.0689655172413791,0.1611150814037399
2025-01-10,انجاز للتنمية والمشاريع المتعددة,141058,ATCO,2,10414.02,37776,33,0.29,0.27,0.27,0.29,0.29,57596.0,0.27,3700.0,0.0,1,1.2096418621724214,66.66666666666666,74.99999999999997,66.66666666666673,-0.0009677190093699,-0.0023451674273375,0.0689655172413791,0.1611150814037399
