trade_date,name,code,symbol,market,volume,qty,no_of_trades,high,low,open,close_price,best_ask_price,best_ask_qty,best_bid_price,best_bid_qty,return_value,is_closed,vroc_5d,rsi_14,stochastic_k,stochastic_d,macd_line,macd_signal,normalized_spread,bollinger_width
2025-01-01,الكهرباء الاردنية,131004,JOEP,1,1665151.56,760442,358,2.21,2.18,2.19,2.21,2.21,13455.0,2.19,230.0,0.0,1,0.7624806033642386,58.3333333333333,100.0,74.99999999999982,0.0082858703591632,0.0071069038442004,0.013574660633484,0.0266229816556602
2025-01-02,الكهرباء الاردنية,131004,JOEP,1,1006707.48,454799,303,2.22,2.19,2.2,2.19,2.2,100.0,2.19,26702.0,-0.009090971701251963,0,0.0655500972906586,50.0,49.99999999999963,83.33333333333321,0.0081126794379895,0.0073080589629582,0.0136986301369864,0.0254314817125289
2025-01-03,الكهرباء الاردنية,131004,JOEP,1,1006707.48,454799,303,2.22,2.19,2.2,2.19,2.2,100.0,2.19,26702.0,0.0,1,-0.3031074972131083,50.0,49.99999999999963,66.66666666666642,0.0078845363580049,0.0074233544419676,0.0136986301369864,0.0238537899686667
2025-01-04,الكهرباء الاردنية,131004,JOEP,1,1006707.48,454799,303,2.22,2.19,2.2,2.19,2.2,100.0,2.19,26702.0,0.0,1,-0.3356818886042819,50.0,49.99999999999963,49.99999999999963,0.0076159395134811,0.0074618714562703,0.0136986301369864,0.0233187848303562
2025-01-05,الكهرباء الاردنية,131004,JOEP,1,1218578.03,546063,425,2.28,2.21,2.21,2.28,2.28,6592.0,2.27,250.0,0.0402738991379399,0,-0.2681879179814719,76.19047619047612,100.0,66.66666666666642,0.0144981962362789,0.008869136412272,0.0307017543859648,0.0454998614820423
2025-01-06,الكهرباء الاردنية,131004,JOEP,1,1432960.65,621197,436,2.34,2.27,2.29,2.31,2.31,19804.0,2.3,7955.0,0.013072081567352921,0,-0.1394413070723725,78.26086956521732,83.33333333333341,77.77777777777767,0.0221182184978863,0.0115189528293948,0.0303030303030302,0.0670216673538988
2025-01-07,الكهرباء الاردنية,131004,JOEP,1,1268693.94,551850,358,2.33,2.26,2.31,2.29,2.29,9112.0,2.27,6934.0,-0.008695706967553932,0,0.2602408993722784,75.0,72.22222222222227,85.18518518518523,0.026240820343899,0.0144633263322957,0.0305676855895197,0.0771389215840512
2025-01-08,الكهرباء الاردنية,131004,JOEP,1,876328.74,383419,229,2.3,2.27,2.28,2.3,2.3,63551.0,2.29,72113.0,0.004357305368955626,0,-0.1295100539036424,75.99999999999997,77.77777777777773,77.77777777777781,0.0299694591652039,0.0175645528988773,0.0130434782608694,0.08677523457027
2025-01-09,الكهرباء الاردنية,131004,JOEP,1,1209427.23,529119,304,2.3,2.27,2.3,2.27,2.28,300.0,2.27,15047.0,-0.013129291441792623,0,0.2013690709837578,66.66666666666666,61.111111111111136,70.37037037037037,0.0301560626956827,0.0200828548582384,0.0132158590308369,0.0901314972527776
2025-01-10,الكهرباء الاردنية,131004,JOEP,1,1209427.23,529119,304,2.3,2.27,2.3,2.27,2.28,300.0,2.27,15047.0,0.0,1,-0.0075094083224199,66.66666666666666,61.111111111111136,66.66666666666667,0.0299586032087852,0.0220580045283478,0.0132158590308369,0.092752878706603
2025-01-11,الكهرباء الاردنية,131004,JOEP,1,1209427.23,529119,304,2.3,2.27,2.3,2.27,2.28,300.0,2.27,15047.0,0.0,1,-0.1559941091194653,66.66666666666666,61.111111111111136,61.111111111111136,0.0294624898990076,0.0235389016024797,0.0132158590308369,0.0932804402479305
