trade_date,name,code,symbol,market,volume,qty,no_of_trades,high,low,open,close_price,best_ask_price,best_ask_qty,best_bid_price,best_bid_qty,return_value,is_closed,vroc_5d,rsi_14,stochastic_k,stochastic_d,macd_line,macd_signal,normalized_spread,bollinger_width
2025-01-01,مناجم الفوسفات الاردنية,141018,JOPH,1,755675.77,52449,190,14.43,14.26,14.26,14.43,14.43,3170.0,14.42,305.0,0.0,1,2.6439175631367413,75.43859649122803,96.66666666666671,88.88888888888893,0.334735103431683,0.3363419645232829,0.0117810117810117,0.1308495421713032
2025-01-02,مناجم الفوسفات الاردنية,141018,JOPH,1,1242489.92,85761,136,14.5,14.38,14.5,14.46,14.46,1058.0,14.45,500.0,0.0020768439448392907,0,4.991366960870487,75.22123893805306,93.84615384615398,95.88522588522596,0.3275786800430129,0.334589307627229,0.0082987551867219,0.1163245673130231
2025-01-03,مناجم الفوسفات الاردنية,141018,JOPH,1,1242489.92,85761,136,14.5,14.38,14.5,14.46,14.46,1058.0,14.45,500.0,0.0,1,0.9133465791888292,75.22123893805306,93.84615384615398,94.78632478632488,0.3182387052508293,0.3313191871519491,0.0082987551867219,0.095786801718532
2025-01-04,مناجم الفوسفات الاردنية,141018,JOPH,1,1242489.92,85761,136,14.5,14.38,14.5,14.46,14.46,1058.0,14.45,500.0,0.0,1,0.7916441021020185,75.22123893805306,93.75000000000011,93.8141025641027,0.3072944092711882,0.3265142315757969,0.0082987551867219,0.0737657962565261
2025-01-05,مناجم الفوسفات الاردنية,141018,JOPH,1,1466519.67,100817,208,14.6,14.49,14.49,14.6,14.6,1137.0,14.57,200.0,0.009635311983672092,0,0.940673140810112,73.83177570093453,100.0,95.86538461538468,0.3063859789820533,0.3224885810570482,0.0075342465753424,0.06750531826775
2025-01-06,مناجم الفوسفات الاردنية,141018,JOPH,1,1743025.3,118471,310,15.13,14.61,14.62,15.13,15.13,5.0,15.04,24180.0,0.035657999085973786,0,1.3065782564392665,78.12499999999996,100.0,97.9166666666667,0.3444618700206856,0.3268832388497756,0.0343688037012558,0.0831860027120102
2025-01-07,مناجم الفوسفات الاردنية,141018,JOPH,1,2045231.18,134189,500,15.42,15.11,15.13,15.19,15.19,500.0,15.18,30.0,0.003957788807416752,0,0.6460746659417568,89.07563025210078,81.14754098360653,93.71584699453553,0.3751542419737941,0.3365374394745793,0.0204081632653061,0.0933277479303169
2025-01-08,مناجم الفوسفات الاردنية,141018,JOPH,1,2236279.68,144845,537,15.6,15.14,15.25,15.6,15.6,1230.0,15.59,300.0,0.02663359764780987,0,0.7998372815773027,91.87499999999996,100.0,93.71584699453553,0.4276322628262434,0.3547564041449122,0.0294871794871794,0.1139841830278198
2025-01-09,مناجم الفوسفات الاردنية,141018,JOPH,1,1337234.94,86345,279,15.6,15.34,15.57,15.53,15.53,97.0,15.47,979.0,-0.004497277094895645,0,0.0762541558486044,87.01298701298695,94.77611940298505,91.9745534621972,0.458290173604361,0.3754631580368019,0.0167417900837089,0.1243198938623337
2025-01-10,مناجم الفوسفات الاردنية,141018,JOPH,1,1337234.94,86345,279,15.6,15.34,15.57,15.53,15.53,97.0,15.47,979.0,0.0,1,-0.0881575151324086,87.01298701298695,94.77611940298505,96.51741293532336,0.4770872242299013,0.3957879712754218,0.0167417900837089,0.1296335102204958
2025-01-11,مناجم الفوسفات الاردنية,141018,JOPH,1,1337234.94,86345,279,15.6,15.34,15.57,15.53,15.53,97.0,15.47,979.0,0.0,1,-0.2328080722637819,87.01298701298695,94.77611940298505,94.77611940298505,0.4863773667515634,0.4139058503706502,0.0167417900837089,0.1349892938375027
2025-01-12,مناجم الفوسفات الاردنية,141018,JOPH,1,4185963.45,276521,588,15.5,14.9,15.0,15.1,15.09,100.0,15.08,690.0,-0.028078893339717092,0,1.0466945208609624,68.02030456852789,62.686567164179095,84.07960199004971,0.4538112121260678,0.4218869227217338,0.0397350993377483,0.1353221669582971
2025-01-13,مناجم الفوسفات الاردنية,141018,JOPH,1,1139031.77,74215,261,15.47,15.15,15.15,15.4,15.4,5082.0,15.35,500.0,0.019672765598704928,0,-0.4906577293587894,76.6355140186916,85.0746268656717,80.8457711442786,0.4470564048026624,0.4269208191379195,0.0207792207792207,0.1368027565310594
2025-01-14,مناجم الفوسفات الاردنية,141018,JOPH,1,150108.88,9741,106,15.45,15.33,15.4,15.39,15.39,113.0,15.33,288.0,-0.000649561568795645,0,-0.8877468158287878,74.24242424242426,84.3283582089553,77.36318407960202,0.4358717961612175,0.4287110145425791,0.0077972709551656,0.1362902786505795
2025-01-15,مناجم الفوسفات الاردنية,141018,JOPH,1,635285.39,41539,146,15.4,15.21,15.4,15.29,15.29,71.0,15.27,2628.0,-0.006518927909817036,0,-0.5249261210599239,70.67307692307689,74.59016393442617,81.33104966968438,0.4141645182095281,0.4258017152759689,0.0124264224983649,0.1349835260868318
2025-01-16,مناجم الفوسفات الاردنية,141018,JOPH,1,1215059.57,78868,182,15.46,15.33,15.33,15.43,15.43,562.0,15.4,217.0,0.009114646434098561,0,-0.0913641771878918,72.14611872146115,86.0655737704918,81.6613653046244,0.4036056592079546,0.4213625040623661,0.0084251458198315,0.1341055693091218
2025-01-17,مناجم الفوسفات الاردنية,141018,JOPH,1,1215059.57,78868,182,15.46,15.33,15.33,15.43,15.43,562.0,15.4,217.0,0.0,1,-0.7097300097066064,72.14611872146115,86.0655737704918,82.2404371584699,0.3907335541872569,0.4152367140873443,0.0084251458198315,0.1317049191870012
2025-01-18,مناجم الفوسفات الاردنية,141018,JOPH,1,1215059.57,78868,182,15.46,15.33,15.33,15.43,15.43,562.0,15.4,217.0,0.0,1,0.0667477431292369,72.14611872146115,84.68468468468468,85.60527740855609,0.3761957675848624,0.4074285247868479,0.0084251458198315,0.1277283437501742
2025-01-19,مناجم الفوسفات الاردنية,141018,JOPH,1,632950.6,40779,164,15.56,15.47,15.47,15.54,15.54,1004.0,15.52,936.0,0.007103678564431801,0,3.216609970043078,71.75925925925924,93.9393939393939,88.22988413152343,0.3692935613569457,0.3998015321008675,0.0057915057915057,0.1200928117829907
2025-01-20,مناجم الفوسفات الاردنية,141018,JOPH,1,771407.75,49865,126,15.57,15.4,15.57,15.5,15.5,553.0,15.4,2382.0,-0.0025773210143004033,0,0.2142696214059007,61.07784431137723,85.71428571428575,88.1127881127881,0.3564864931002383,0.3911385243007417,0.0109677419354838,0.1136372717550524
2025-01-21,مناجم الفوسفات الاردنية,141018,JOPH,1,580953.09,37937,137,15.5,15.27,15.4,15.38,15.38,309.0,15.3,178.0,-0.007772059847702973,0,-0.5218727506504064,55.49132947976882,68.57142857142871,82.74170274170278,0.3328172915532441,0.3794742777512422,0.0149544863459037,0.1040572981431249
2025-01-22,مناجم الفوسفات الاردنية,141018,JOPH,1,347968.53,22756,65,15.35,15.25,15.28,15.35,15.35,400.0,15.33,53.0,-0.0019524900442917782,0,-0.7136201890085109,40.74074074074075,64.28571428571425,72.85714285714289,0.3080870932864723,0.3651968408582882,0.006514657980456,0.0927440503965713
2025-01-23,مناجم الفوسفات الاردنية,141018,JOPH,1,156664.23,10197,66,15.4,15.25,15.27,15.39,15.39,545.0,15.37,700.0,0.0026024738175816544,0,-0.8710645684639149,44.69696969696975,70.00000000000011,67.61904761904768,0.2883915009887268,0.3498357728843759,0.0097465886939571,0.0783067712087444
2025-01-24,مناجم الفوسفات الاردنية,141018,JOPH,1,156664.23,10197,66,15.4,15.25,15.27,15.39,15.39,545.0,15.37,700.0,0.0,1,-0.7524858496065886,44.69696969696975,70.00000000000011,68.09523809523814,0.2696739685504514,0.333803412017591,0.0097465886939571,0.0581661398013669
2025-01-25,مناجم الفوسفات الاردنية,141018,JOPH,1,156664.23,10197,66,15.4,15.25,15.27,15.39,15.39,545.0,15.37,700.0,0.0,1,-0.7969112573732893,44.69696969696975,73.134328358209,71.04477611940307,0.2519360275398306,0.317429935122039,0.0097465886939571,0.0350134723857782
2025-01-26,مناجم الفوسفات الاردنية,141018,JOPH,1,2070283.22,137374,252,15.37,15.01,15.37,15.15,15.19,160.0,15.13,500.0,-0.015717415895409707,0,2.563597914592381,52.21238938053099,25.00000000000008,56.044776119403046,0.2160224153230814,0.2971484311622475,0.0237623762376237,0.0344867903667474
2025-01-27,مناجم الفوسفات الاردنية,141018,JOPH,1,305692.75,20083,114,15.3,15.15,15.2,15.21,15.21,199.0,15.15,2374.0,0.003952574315823342,0,-0.1214931131846895,39.32584269662927,35.71428571428587,44.61620469083164,0.1902095007336246,0.2757606450765229,0.009861932938856,0.0340752947137919
2025-01-28,مناجم الفوسفات الاردنية,141018,JOPH,1,289130.91,19044,105,15.27,15.15,15.18,15.16,15.16,500.0,15.14,1200.0,-0.003292726056975979,0,0.845545150925645,37.63440860215056,26.785714285714324,29.166666666666742,0.1638294736252632,0.253374410786271,0.0079155672823218,0.0344440410804407
2025-01-29,مناجم الفوسفات الاردنية,141018,JOPH,1,400627.56,26383,116,15.3,15.08,15.2,15.21,15.21,195.0,15.15,237.0,0.003292726056975907,0,1.5572369646855568,45.45454545454557,35.71428571428587,32.73809523809535,0.1452829626585945,0.2317561211607357,0.0144641683103221,0.0344136047188816
2025-01-30,مناجم الفوسفات الاردنية,141018,JOPH,1,146001.07,9607,74,15.26,15.15,15.24,15.2,15.22,50.0,15.2,446.0,-0.0006576784189709341,0,-0.0680637820132904,34.666666666666714,33.92857142857131,32.14285714285716,0.1282988533524189,0.2110646675990724,0.0072368421052631,0.0339935864551524
2025-01-31,مناجم الفوسفات الاردنية,141018,JOPH,1,146001.07,9607,74,15.26,15.15,15.24,15.2,15.22,50.0,15.2,446.0,0.0,1,-0.9294777310710174,34.666666666666714,33.92857142857131,34.52380952380948,0.1135301198122267,0.1915577580417032,0.0072368421052631,0.0329798089495417
2025-02-01,مناجم الفوسفات الاردنية,141018,JOPH,1,146001.07,9607,74,15.26,15.15,15.24,15.2,15.22,50.0,15.2,446.0,0.0,1,-0.5223927620134923,34.666666666666714,33.92857142857131,33.92857142857131,0.1006653841917071,0.173379283271704,0.0072368421052631,0.0309572595348039
2025-02-02,مناجم الفوسفات الاردنية,141018,JOPH,1,1088857.63,71753,207,15.33,15.1,15.2,15.21,15.25,923.0,15.21,784.0,0.0006576784189709789,0,2.7659675681164635,24.61538461538497,35.71428571428587,34.52380952380948,0.0902367123045007,0.1567507690782633,0.0151216305062459,0.0314621525039012
2025-02-03,مناجم الفوسفات الاردنية,141018,JOPH,1,979521.3,64566,166,15.27,15.12,15.13,15.25,15.25,1165.0,15.23,170.0,0.0026263967822190825,0,1.4449673407391144,30.769230769230944,48.97959183673471,39.54081632653062,0.0842286450161804,0.1422463442658467,0.0098360655737705,0.0314605605293123
2025-02-04,مناجم الفوسفات الاردنية,141018,JOPH,1,606235.34,39788,104,15.25,15.17,15.25,15.25,15.25,141.0,15.2,495.0,0.0,0,3.1522664183214544,37.73584905660385,61.53846153846151,48.74411302982735,0.0785615991918149,0.1295093952510404,0.0052459016393442,0.031667166600938
2025-02-05,مناجم الفوسفات الاردنية,141018,JOPH,1,1174972.19,76808,159,15.4,15.2,15.22,15.21,15.24,590.0,15.22,100.0,-0.002626396782219133,0,7.047695746339392,37.03703703703725,51.28205128205148,53.93336821908255,0.0700354339540147,0.1176146029916352,0.0131492439184747,0.0313889125792463
2025-02-06,مناجم الفوسفات الاردنية,141018,JOPH,1,1210362.83,79363,152,15.4,15.19,15.25,15.21,15.27,300.0,15.21,1069.0,0.0,0,7.290095613682831,32.00000000000016,51.28205128205148,54.70085470085481,0.0625572653608195,0.1066031354654721,0.0138067061143984,0.0308259000556065
2025-02-07,مناجم الفوسفات الاردنية,141018,JOPH,1,1210362.83,79363,152,15.4,15.19,15.25,15.21,15.27,300.0,15.21,1069.0,0.0,1,0.1115896115821865,32.00000000000016,51.28205128205148,51.28205128205148,0.0559853980543465,0.096479587983247,0.0138067061143984,0.029960821127502
2025-02-08,مناجم الفوسفات الاردنية,141018,JOPH,1,1210362.83,79363,152,15.4,15.19,15.25,15.21,15.27,300.0,15.21,1069.0,0.0,1,0.2356676980888521,32.00000000000016,51.28205128205148,51.28205128205148,0.0501984889332707,0.0872233681732517,0.0138067061143984,0.0255829178594896
2025-02-09,مناجم الفوسفات الاردنية,141018,JOPH,1,973363.65,63236,252,15.43,15.26,15.26,15.43,15.43,411.0,15.35,319.0,0.014360560103867985,0,0.6055871140735545,79.16666666666646,100.0,67.52136752136764,0.062642380773644,0.0823071706933302,0.0110174983797796,0.0234977801322532
