trade_date,name,code,symbol,market,volume,qty,no_of_trades,high,low,open,close_price,best_ask_price,best_ask_qty,best_bid_price,best_bid_qty,return_value,is_closed,vroc_5d,rsi_14,stochastic_k,stochastic_d,macd_line,macd_signal,normalized_spread,bollinger_width
2025-01-01,الاتصالات الأردنية,131206,JTEL,1,355043.47,123590,120,2.91,2.86,2.91,2.86,2.87,2492.0,2.86,15025.0,0.0,1,0.9954717330230596,35.714285714285666,0.0,26.666666666666515,-0.0026734835998687,-0.0017588792159981,0.0174825174825175,0.0230861188471438
2025-01-02,الاتصالات الأردنية,131206,JTEL,1,203405.03,70551,69,2.9,2.87,2.87,2.9,2.9,2086.0,2.89,100.0,0.013889112160667093,0,0.143209274401547,59.99999999999994,79.99999999999964,26.666666666666515,-0.0009477179173273,-0.0015966469562639,0.0103448275862068,0.0237703901894962
2025-01-03,الاتصالات الأردنية,131206,JTEL,1,203405.03,70551,69,2.9,2.87,2.87,2.9,2.9,2086.0,2.89,100.0,0.0,1,1.7566867991984934,59.99999999999994,79.99999999999964,53.333333333333066,0.0004151779070835,-0.0011942819835944,0.0103448275862068,0.0243515542093131
2025-01-04,الاتصالات الأردنية,131206,JTEL,1,203405.03,70551,69,2.9,2.87,2.87,2.9,2.9,2086.0,2.89,100.0,0.0,1,1.2284986152206636,59.99999999999994,79.99999999999964,79.99999999999964,0.0014782424087491,-0.0006597771051257,0.0103448275862068,0.0244322452486294
2025-01-05,الاتصالات الأردنية,131206,JTEL,1,106955.12,36837,30,2.91,2.88,2.88,2.91,2.91,13182.0,2.89,2618.0,0.0034423441909729197,0,-0.6987548595105832,60.00000000000006,100.0,86.6666666666664,0.0030920024324609,9.057880239161292e-05,0.0103092783505155,0.0244322452486294
2025-01-06,الاتصالات الأردنية,131206,JTEL,1,369381.85,126390,64,2.94,2.9,2.91,2.94,2.94,18150.0,2.93,247.0,0.010256500167189061,0,0.0403848576626405,66.66666666666666,100.0,93.3333333333332,0.0067142702295863,0.0014153170878305,0.0136054421768707,0.0296718240072955
2025-01-07,الاتصالات الأردنية,131206,JTEL,1,149235.72,50780,40,2.94,2.92,2.94,2.94,2.94,11149.0,2.93,3854.0,0.0,0,-0.2663125390753611,75.0,100.0,100.0,0.0094757134298464,0.0030273963562337,0.0068027210884353,0.0336042617931406
2025-01-08,الاتصالات الأردنية,131206,JTEL,1,310175.77,104907,87,2.98,2.94,2.94,2.97,2.97,6516.0,2.95,3605.0,0.010152371464018128,0,0.5249169108551545,78.94736842105266,91.66666666666686,97.22222222222224,0.0139244143596237,0.0052067999569117,0.0134680134680134,0.0409631040234736
2025-01-09,الاتصالات الأردنية,131206,JTEL,1,132430.06,44789,40,2.97,2.94,2.97,2.96,2.96,1716.0,2.95,486.0,-0.0033726844786393416,0,-0.3489341930236435,68.74999999999994,83.33333333333334,91.6666666666667,0.0164534602235852,0.0074561320102464,0.0101351351351352,0.0446408082829858
2025-01-10,الاتصالات الأردنية,131206,JTEL,1,132430.06,44789,40,2.97,2.94,2.97,2.96,2.96,1716.0,2.95,486.0,0.0,1,0.238183454892108,68.74999999999994,83.33333333333334,86.11111111111114,0.0182474025930865,0.0096143861268144,0.0101351351351352,0.0471676427039778
