trade_date,name,code,symbol,market,volume,qty,no_of_trades,high,low,open,close_price,best_ask_price,best_ask_qty,best_bid_price,best_bid_qty,return_value,is_closed,vroc_5d,rsi_14,stochastic_k,stochastic_d,macd_line,macd_signal,normalized_spread,bollinger_width
2025-01-01,آفاق للطاقة,131286,MANE,1,9770.77,6238,17,1.59,1.56,1.58,1.57,1.57,1748.0,1.55,500.0,0.0,1,0.4852851309896966,100.0,85.71428571428571,86.34920634920628,0.0156595092303548,0.0049730334853726,0.019108280254777,0.0854251998110204
2025-01-02,آفاق للطاقة,131286,MANE,1,1103151.92,706428,38,1.58,1.55,1.56,1.57,1.57,1737.0,1.55,1700.0,0.0,0,166.69355373207387,100.0,85.71428571428571,86.03174603174597,0.0186411233853844,0.007706651465375,0.019108280254777,0.095459542635515
2025-01-03,آفاق للطاقة,131286,MANE,1,1103151.92,706428,38,1.58,1.55,1.56,1.57,1.57,1737.0,1.55,1700.0,0.0,1,2.352562030343164,100.0,85.71428571428571,85.71428571428571,0.0207647114169844,0.0103182634556969,0.019108280254777,0.1032969834860946
2025-01-04,آفاق للطاقة,131286,MANE,1,1103151.92,706428,38,1.58,1.55,1.56,1.57,1.57,1737.0,1.55,1700.0,0.0,1,3.892894171915196,100.0,84.61538461538461,85.34798534798529,0.0221918563258791,0.0126929820297333,0.019108280254777,0.1094289855816074
2025-01-05,آفاق للطاقة,131286,MANE,1,32311.57,20617,40,1.59,1.55,1.57,1.58,1.58,5088.0,1.56,956.0,0.0063492276786587445,0,2.306962501420052,100.0,92.3076923076923,87.54578754578749,0.0238548119516415,0.0149253480141149,0.0253164556962025,0.1160826670045786
2025-01-06,آفاق للطاقة,131286,MANE,1,37164.12,23661,42,1.58,1.56,1.58,1.58,1.58,4830.0,1.56,14340.0,0.0,0,2.8036019679104105,100.0,92.3076923076923,89.74358974358968,0.0248858477045705,0.0169174479522061,0.0126582278481012,0.121085428071151
2025-01-07,آفاق للطاقة,131286,MANE,1,66761.49,42316,51,1.6,1.56,1.57,1.6,1.6,1247.0,1.58,555.0,0.012578782206860185,0,-0.9394811459875808,100.0,100.0,94.87179487179482,0.0270054814402891,0.0189350546498227,0.025,0.12727842897152
2025-01-08,آفاق للطاقة,131286,MANE,1,15979.61,9942,37,1.62,1.59,1.6,1.62,1.62,1290.0,1.61,10400.0,0.01242251999855711,0,-0.9855145880542,100.0,100.0,97.4358974358974,0.0299538499632561,0.0211388137125094,0.0185185185185185,0.1353343108349488
2025-01-09,آفاق للطاقة,131286,MANE,1,23639.65,14529,51,1.65,1.62,1.62,1.65,1.65,2231.0,1.63,11225.0,0.0183491386681964,0,-0.9785708118968782,100.0,100.0,100.0,0.0343156332793896,0.0237741776258854,0.018181818181818,0.1473351373113464
2025-01-10,آفاق للطاقة,131286,MANE,1,23639.65,14529,51,1.65,1.62,1.62,1.65,1.65,2231.0,1.63,11225.0,0.0,1,-0.2683843589153977,100.0,100.0,100.0,0.0373419235324359,0.0264877268071955,0.018181818181818,0.1549480672225176
2025-01-11,آفاق للطاقة,131286,MANE,1,23639.65,14529,51,1.65,1.62,1.62,1.65,1.65,2231.0,1.63,11225.0,0.0,1,-0.3639120205187153,100.0,100.0,100.0,0.0392873996733416,0.0290476613804247,0.018181818181818,0.1589157051763604
2025-01-12,آفاق للطاقة,131286,MANE,1,642006.46,386478,61,1.68,1.65,1.65,1.68,1.68,6696.0,1.67,10475.0,0.01801850550267843,0,8.616418986454615,100.0,100.0,100.0,0.0427570758558368,0.0317895442755071,0.0178571428571428,0.1657475137319156
2025-01-13,آفاق للطاقة,131286,MANE,1,60430.52,35737,79,1.7,1.68,1.68,1.69,1.69,1723.0,1.68,4314.0,0.0059347355198145265,0,2.7817268381393534,100.0,93.33333333333331,97.77777777777771,0.0457859437953318,0.0345888241794721,0.0118343195266272,0.1702703815707987
2025-01-14,آفاق للطاقة,131286,MANE,1,23617.95,14165,62,1.69,1.66,1.68,1.67,1.67,2030.0,1.66,100.0,-0.011904902506318427,0,-0.0009179492928195,85.7142857142857,79.99999999999997,91.11111111111104,0.046041769744562,0.0368794132924901,0.0179640718562874,0.1666963174211476
2025-01-15,آفاق للطاقة,131286,MANE,1,243435.72,145706,37,1.69,1.65,1.68,1.68,1.68,3583.0,1.66,100.0,0.005970166986503754,0,9.29777175211985,86.66666666666664,86.66666666666664,86.66666666666659,0.0465152314455881,0.0388065769231097,0.0238095238095238,0.1609995200397093
