trade_date,name,code,symbol,market,volume,qty,no_of_trades,high,low,open,close_price,best_ask_price,best_ask_qty,best_bid_price,best_bid_qty,return_value,is_closed,vroc_5d,rsi_14,stochastic_k,stochastic_d,macd_line,macd_signal,normalized_spread,bollinger_width
2025-01-01,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,3456.0,3200,7,1.08,1.08,1.08,1.08,1.1,3425.0,1.07,7300.0,0.0,1,-0.9057672822695252,58.82352941176472,20.00000000000005,28.578088578088654,0.0041329627977457,0.0046669486739668,0.0,0.0973996945168605
2025-01-02,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,9753.79,8814,12,1.14,1.08,1.08,1.12,1.12,2000.0,1.1,400.0,0.03636764417087479,0,-0.7340491493424978,63.15789473684213,60.00000000000013,35.75757575757586,0.0068575480408001,0.0051050685473335,0.0535714285714284,0.1005364285228245
2025-01-03,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,9753.79,8814,12,1.14,1.08,1.08,1.12,1.12,2000.0,1.1,400.0,0.0,1,4.685683474205772,63.15789473684213,60.00000000000013,46.66666666666679,0.0089140459031271,0.0058668640184922,0.0535714285714284,0.1018270877617804
2025-01-04,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,9753.79,8814,12,1.14,1.08,1.08,1.12,1.12,2000.0,1.1,400.0,0.0,1,-0.9749702222889196,63.15789473684213,55.55555555555569,58.51851851851867,0.0104236776083335,0.0067782267364605,0.0535714285714284,0.0983159192821479
2025-01-05,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,8407.91,7509,9,1.12,1.11,1.12,1.12,1.12,650.0,1.11,283.0,0.0,0,1.4328443287037036,46.15384615384623,55.55555555555569,57.03703703703719,0.0114876491425168,0.0077201112176717,0.0089285714285714,0.098477845658909
2025-01-06,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,3786.0,3400,8,1.12,1.11,1.12,1.11,1.13,1000.0,1.11,500.0,-0.008968669982760375,0,0.0954861111111111,38.46153846153853,57.14285714285733,56.08465608465625,0.0113926108955948,0.0084546111532563,0.009009009009009,0.0890882480903227
2025-01-07,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,246680.21,220253,35,1.13,1.1,1.12,1.1,1.11,2000.0,1.1,130.0,-0.009049835519917927,0,24.29070340862372,55.55555555555556,42.857142857143,51.851851851852025,0.0103905996093101,0.0088418088444671,0.027272727272727,0.0805123988177023
2025-01-08,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,42452.9,38301,43,1.13,1.1,1.13,1.1,1.12,3377.0,1.1,3372.0,0.0,0,3.352451713641569,55.55555555555556,42.857142857143,47.6190476190478,0.0094871366401774,0.0089708744036091,0.027272727272727,0.0771437325523184
2025-01-09,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,25852.2,23272,23,1.13,1.1,1.11,1.1,1.12,2100.0,1.1,5509.0,0.0,0,1.6504774041680206,55.55555555555556,42.857142857143,42.857142857143,0.0086711797653278,0.0089109354759529,0.027272727272727,0.0732136854825259
2025-01-10,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,25852.2,23272,23,1.13,1.1,1.11,1.1,1.12,2100.0,1.1,5509.0,0.0,1,2.0747474699419954,55.55555555555556,42.857142857143,42.857142857143,0.0079330804501001,0.0087153644707823,0.027272727272727,0.0686294816612049
2025-01-11,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,25852.2,23272,23,1.13,1.1,1.11,1.1,1.12,2100.0,1.1,5509.0,0.0,1,5.828367670364501,55.55555555555556,42.857142857143,42.857142857143,0.0072643920356043,0.0084251699837467,0.027272727272727,0.0640810857946832
2025-01-12,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,23472.21,21173,35,1.12,1.1,1.12,1.1,1.11,1500.0,1.1,20207.0,0.0,0,-0.9048476162720958,71.42857142857143,42.857142857143,42.857142857143,0.0066577057617331,0.008071677139344,0.0181818181818181,0.054026508494909
2025-01-13,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,23237.9,21129,36,1.11,1.09,1.1,1.1,1.12,11447.0,1.1,2154.0,0.0,0,-0.4526192556927795,66.66666666666666,33.33333333333346,39.68253968253983,0.0061065104672559,0.0076786438049264,0.0181818181818181,0.0536450258293755
2025-01-14,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,1320.9,1190,6,1.11,1.11,1.11,1.11,1.11,250.0,1.1,5100.0,0.009049835519917856,0,-0.948905702416042,71.42857142857143,50.00000000000019,42.06349206349224,0.0064027932369132,0.0074234736913238,0.0,0.0539850663276719
2025-01-15,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,10265.55,9255,12,1.11,1.1,1.1,1.11,1.12,11947.0,1.11,290.0,0.0,0,-0.6029138719335299,71.42857142857143,50.00000000000019,44.44444444444463,0.006561957307307,0.0072511704145204,0.009009009009009,0.0540648684830519
2025-01-16,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,7742.54,6913,18,1.12,1.11,1.12,1.12,1.12,736.0,1.11,3198.0,0.008968669982760316,0,-0.700507500328792,50.0,66.66666666666691,55.55555555555579,0.0074095991595264,0.0072828561635216,0.0089285714285714,0.0556061137190377
2025-01-17,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,7742.54,6913,18,1.12,1.11,1.12,1.12,1.12,736.0,1.11,3198.0,0.0,1,-0.6701401359309583,50.0,66.66666666666691,61.11111111111135,0.0079892661473393,0.0074241381602851,0.0089285714285714,0.0565494865679578
2025-01-18,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,7742.54,6913,18,1.12,1.11,1.12,1.12,1.12,736.0,1.11,3198.0,0.0,1,-0.666814126921968,50.0,75.00000000000043,69.44444444444478,0.00835237542671,0.0076097856135701,0.0089285714285714,0.050458189711814
2025-01-19,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,9102.24,8127,14,1.12,1.12,1.12,1.12,1.13,2000.0,1.12,1183.0,0.0,0,5.89093799682035,50.0,75.00000000000043,72.22222222222261,0.0085416789883059,0.0077961642885173,0.0,0.0466886504554017
2025-01-20,الباطون الجاهز والتوريدات الانشائية,141065,RMCC,1,11957.54,10662,19,1.13,1.12,1.12,1.13,1.14,1075.0,1.12,1910.0,0.008888947417245774,0,0.1648221478634853,74.99999999999986,100.0,83.33333333333364,0.0093903734711708,0.008115006125048,0.0088495575221237,0.0437460885496753
